,sector,ticker
0,industrials,MMM
1,health_care,ABT
2,health_care,ABBV
3,information_technology,ACN
4,financials,ACE
5,information_technology,ATVI
6,information_technology,ADBE
7,industrials,ADT
8,consumer_discretionary,AAP
9,utilities,AES
10,health_care,AET
11,financials,AFL
12,financials,AMG
13,health_care,A
14,utilities,GAS
15,materials,APD
16,materials,ARG
17,information_technology,AKAM
18,materials,AA
19,health_care,AGN
20,health_care,ALXN
21,industrials,ALLE
22,information_technology,ADS
23,financials,ALL
24,information_technology,GOOGL
25,information_technology,GOOG
26,information_technology,ALTR
27,consumer_staples,MO
28,consumer_discretionary,AMZN
29,utilities,AEE
30,industrials,AAL
31,utilities,AEP
32,financials,AXP
33,financials,AIG
34,financials,AMT
35,financials,AMP
36,health_care,ABC
37,industrials,AME
38,health_care,AMGN
39,industrials,APH
40,energy,APC
41,information_technology,ADI
42,financials,AON
43,energy,APA
44,financials,AIV
45,information_technology,AAPL
46,information_technology,AMAT
47,consumer_staples,ADM
48,financials,AIZ
49,telecommunications_services,T
50,information_technology,ADSK
51,information_technology,ADP
52,consumer_discretionary,AN
53,consumer_discretionary,AZO
54,information_technology,AVGO
55,financials,AVB
56,materials,AVY
57,energy,BHI
58,materials,BLL
59,financials,BAC
60,financials,BK
61,health_care,BCR
62,health_care,BXLT
63,health_care,BAX
64,financials,BBT
65,health_care,BDX
66,consumer_discretionary,BBBY
67,financials,BRK-B
68,consumer_discretionary,BBY
69,health_care,BIIB
70,financials,BLK
71,financials,HRB
72,industrials,BA
73,consumer_discretionary,BWA
74,financials,BXP
75,health_care,BSX
76,health_care,BMY
77,information_technology,BRCM
78,consumer_staples,BF-B
79,industrials,CHRW
80,information_technology,CA
81,consumer_discretionary,CVC
82,energy,COG
83,energy,CAM
84,consumer_staples,CPB
85,financials,COF
86,health_care,CAH
87,health_care,HSIC
88,consumer_discretionary,KMX
89,consumer_discretionary,CCL
90,industrials,CAT
91,financials,CBG
92,consumer_discretionary,CBS
93,health_care,CELG
94,utilities,CNP
95,telecommunications_services,CTL
